Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2021-05-18,79600,80000,79100,79600,17494407,0.0,39406,20.72,2.02,3841,3.76,2994,0,2
2021-05-20,79400,79700,79100,79500,16541828,-0.0012562814070351536,39406,20.7,2.02,3841,3.77,2994,2,2
2021-05-21,80100,81500,79800,80100,20961714,0.007547169811320753,39406,20.85,2.03,3841,3.74,2994,0,2
2021-05-24,80100,80400,79500,79700,13398666,-0.004993757802746579,39406,20.75,2.02,3841,3.76,2994,2,2
2021-05-25,80000,80400,79800,79900,13628942,0.0025094102885820924,39406,20.8,2.03,3841,3.75,2994,1,2
2021-05-26,80400,80500,79700,79800,11984359,-0.0012515644555695093,39406,20.78,2.03,3841,3.75,2994,1,2
2021-05-27,80000,80000,79100,79600,23198510,-0.0025062656641604564,39406,20.72,2.02,3841,3.76,2994,2,2
2021-05-28,79800,80400,79400,80100,12360199,0.00628140703517599,39406,20.85,2.03,3841,3.74,2994,2,2
2021-05-31,80300,80600,79600,80500,13321324,0.004993757802746579,39406,20.96,2.04,3841,3.72,2994,1,2
2021-06-01,80500,81300,80100,80600,14058401,0.001242236024844745,39406,20.98,2.05,3841,3.71,2994,0,2
2021-06-02,80400,81400,80300,80800,16414644,0.002481389578163684,39406,21.04,2.05,3841,3.71,2994,2,2
2021-06-03,81300,83000,81100,82800,29546007,0.024752475247524774,39406,21.56,2.1,3841,3.62,2994,2,2
2021-06-04,82700,82700,81500,82200,18112259,-0.007246376811594235,39406,21.4,2.09,3841,3.64,2994,2,2
2021-06-07,82700,82800,81600,81900,16496197,-0.0036496350364964014,39406,21.32,2.08,3841,3.66,2994,2,2
2021-06-08,82300,82600,81800,81900,12781226,0.0,39406,21.32,2.08,3841,3.66,2994,0,2
2021-06-09,81500,82000,81100,81100,14908823,-0.009768009768009733,39406,21.11,2.06,3841,3.69,2994,0,2
2021-06-10,81300,81400,80900,81000,17586995,-0.0012330456226880004,39406,21.09,2.06,3841,3.7,2994,2,2
2021-06-11,81200,81700,80700,81000,14087962,0.0,39406,21.09,2.06,3841,3.7,2994,2,2
2021-06-14,80800,80900,80500,80500,10550078,-0.006172839506172867,39406,20.96,2.04,3841,3.72,2994,2,2
2021-06-15,80900,81200,80600,80900,10075685,0.00496894409937898,39406,21.06,2.05,3841,3.7,2994,0,2
2021-06-16,81500,81900,81100,81800,14999855,0.011124845488257096,39406,21.3,2.08,3841,3.66,2994,2,2
2021-06-17,81100,81300,80700,80900,14007385,-0.011002444987775029,39406,21.06,2.05,3841,3.7,2994,2,2
2021-06-18,81100,81100,80500,80500,14916721,-0.0049443757725586845,39406,20.96,2.04,3841,3.72,2994,0,2
2021-06-21,79700,80000,79600,79900,16063340,-0.007453416149068359,39406,20.8,2.03,3841,3.75,2994,1,2
2021-06-22,80200,80300,79900,80000,11773365,0.0012515644555695093,39406,20.83,2.03,3841,3.74,2994,0,2
2021-06-23,80500,80600,79900,80100,13856548,0.0012499999999999734,39406,20.85,2.03,3841,3.74,2994,0,2
2021-06-24,80400,81400,80100,81200,18771080,0.013732833957553092,39406,21.14,2.06,3841,3.69,2994,2,2
2021-06-25,81500,81900,81200,81600,13481405,0.0049261083743843415,39406,21.24,2.07,3841,3.67,2994,2,2
2021-06-28,81700,82000,81600,81900,11578529,0.003676470588235281,39406,21.32,2.08,3841,3.66,2994,2,2
2021-06-29,81900,82100,80800,81000,15744317,-0.01098901098901095,39406,21.09,2.06,3841,3.7,2994,2,2
2021-06-30,81100,81400,80700,80700,13288643,-0.0037037037037036535,39406,21.01,2.05,3841,3.71,2994,2,2
2021-07-01,80500,80600,80000,80100,13382882,-0.0074349442379182396,39406,20.85,2.03,3841,3.74,2994,2,2
2021-07-02,80000,80400,79900,80000,8753097,-0.0012484394506866447,39406,20.83,2.03,3841,3.74,2994,0,2
2021-07-05,80100,80800,80000,80400,8330969,0.004999999999999893,39406,20.93,2.04,3841,3.72,2994,1,2
2021-07-06,80600,81200,80500,81200,12131651,0.00995024875621886,39406,21.14,2.06,3841,3.69,2994,1,2
2021-07-07,81200,81300,80300,80800,15992202,-0.0049261083743842304,39406,21.04,2.05,3841,3.71,2994,0,2
2021-07-08,81100,81200,79900,79900,16660998,-0.011138613861386149,39406,20.8,2.03,3841,3.75,2994,1,2
2021-07-09,79600,79800,79000,79400,22720577,-0.006257822277847325,39406,20.67,2.01,3841,3.77,2994,0,2
2021-07-12,79900,80000,79500,79700,9768108,0.0037783375314861534,39406,20.75,2.02,3841,3.76,2994,2,2
2021-07-13,80000,80200,79800,79800,9863450,0.0012547051442910462,39406,20.78,2.03,3841,3.75,2994,2,2
2021-07-14,79400,79600,79100,79500,11575636,-0.003759398496240629,39406,20.7,2.02,3841,3.77,2994,2,2
2021-07-15,79800,80600,79500,80600,13766279,0.01383647798742138,39406,20.98,2.05,3841,3.71,2994,2,2
2021-07-16,80100,80100,79500,79800,10859399,-0.00992555831265507,39406,20.78,2.03,3841,3.75,2994,2,2
2021-07-19,79100,79200,78800,79000,13155414,-0.010025062656641603,39406,20.57,2.0,3841,3.79,2994,2,2
2021-07-20,78500,79000,78400,79000,12456646,0.0,39406,20.57,2.0,3841,3.79,2994,0,2
2021-07-21,79000,79100,78500,78500,12355296,-0.006329113924050667,39406,20.44,1.99,3841,3.81,2994,1,2
2021-07-22,79000,79800,78900,79700,12618790,0.015286624203821653,39406,20.75,2.02,3841,3.76,2994,2,2
2021-07-23,79700,79900,79200,79300,9098910,-0.005018820577164407,39406,20.65,2.01,3841,3.78,2994,1,2
2021-07-26,79400,79500,78800,78800,10040975,-0.006305170239596425,39406,20.52,2.0,3841,3.8,2994,2,2
2021-07-27,79200,79400,78500,78500,11427693,-0.0038071065989847552,39406,20.44,1.99,3841,3.81,2994,2,2
2021-07-28,78300,79200,78100,79200,12743417,0.008917197452229297,39406,20.62,2.01,3841,3.78,2994,2,2
2021-07-29,78800,79400,78800,79000,14360453,-0.002525252525252486,39406,20.57,2.0,3841,3.79,2994,2,2
2021-07-30,78900,78900,78500,78500,13823411,-0.006329113924050667,39406,20.44,1.99,3841,3.81,2994,2,2
2021-08-02,79200,79500,78700,79300,11739124,0.010191082802547768,39406,20.65,2.01,3841,3.78,2994,2,2
2021-08-03,79400,81400,79300,81400,24339360,0.02648171500630525,39406,21.19,2.07,3841,3.68,2994,0,2
2021-08-04,82200,83100,81800,82900,25642368,0.01842751842751844,39406,21.58,2.1,3841,3.61,2994,2,2
2021-08-05,83300,83300,82000,82100,18485469,-0.00965018094089265,39406,21.37,2.08,3841,3.65,2994,0,2
2021-08-06,81900,82500,81300,81500,13342623,-0.0073081607795371095,39406,21.22,2.07,3841,3.67,2994,0,2
2021-08-09,81500,82300,80900,81500,15522581,0.0,39406,21.22,2.07,3841,3.67,2994,2,2
2021-08-10,82300,82400,80100,80200,20362639,-0.015950920245398792,39406,20.88,2.04,3841,3.73,2994,2,2
2021-08-11,79600,79800,78500,78500,30241137,-0.021197007481296715,39406,20.44,1.99,3841,3.81,2994,2,2
2021-08-12,77100,78200,76900,77000,42365223,-0.019108280254777066,39406,20.05,1.95,3841,3.89,2994,2,2
2021-08-13,75800,76000,74100,74400,61270643,-0.03376623376623378,39406,19.37,1.89,3841,4.02,2994,1,2
2021-08-17,74000,75100,74000,74200,30944847,-0.0026881720430107503,39406,19.32,1.88,3841,4.04,2994,2,2
2021-08-18,73900,74600,73100,73900,29192631,-0.0040431266846361336,39406,19.24,1.88,3841,4.05,2994,2,2
2021-08-19,73500,74400,73100,73100,22166298,-0.010825439783491153,39406,19.03,1.86,3841,4.1,2994,2,2
2021-08-20,73500,73900,72500,72700,22364803,-0.005471956224350261,39406,18.93,1.84,3841,4.12,2994,0,2
2021-08-23,73300,74000,73000,73300,19384648,0.008253094910591452,39406,19.08,1.86,3841,4.08,2994,2,2
2021-08-24,73900,75700,73900,75600,21016913,0.03137789904502042,39406,19.68,1.92,3841,3.96,2994,2,2
2021-08-25,76200,76600,74900,75700,22319664,0.001322751322751392,39406,19.71,1.92,3841,3.96,2994,2,2
2021-08-26,76100,76200,74600,74600,16671494,-0.014531043593130732,39406,19.42,1.89,3841,4.01,2994,2,2
2021-08-27,74300,75000,73800,74300,15172748,-0.004021447721179627,39406,19.34,1.89,3841,4.03,2994,0,2
2021-08-30,75400,75500,74200,74600,12686999,0.004037685060565233,39406,19.42,1.89,3841,4.01,2994,0,2
2021-08-31,74900,76700,74300,76700,24630370,0.02815013404825728,39406,19.97,1.95,3841,3.9,2994,2,2
2021-09-01,76700,77100,75900,76800,16114775,0.0013037809647979959,39406,19.99,1.95,3841,3.9,2994,2,2
2021-09-02,76800,76800,75700,76000,15347486,-0.01041666666666663,39406,19.79,1.93,3841,3.94,2994,2,2
2021-09-03,76400,76700,76000,76600,12096419,0.007894736842105177,39406,19.94,1.94,3841,3.91,2994,1,2
2021-09-06,76800,77600,76600,77300,12861180,0.009138381201044377,39406,20.12,1.96,3841,3.87,2994,1,2
2021-09-07,77100,77100,75900,76100,13239401,-0.015523932729624823,39406,19.81,1.93,3841,3.93,2994,2,2
2021-09-08,76000,76400,75600,76300,11798147,0.0026281208935610145,39406,19.86,1.94,3841,3.92,2994,2,2
2021-09-09,76400,76600,75000,75300,17600770,-0.013106159895150737,39406,19.6,1.91,3841,3.98,2994,1,2
2021-09-10,75300,75600,74800,75300,10103212,0.0,39406,19.6,1.91,3841,3.98,2994,0,2
2021-09-13,75200,76300,75100,76300,11397775,0.013280212483399723,39406,19.86,1.94,3841,3.92,2994,2,2
2021-09-14,77100,77700,76600,76600,18167057,0.003931847968545288,39406,19.94,1.94,3841,3.91,2994,1,2
2021-09-15,77400,77400,76400,77000,12500473,0.005221932114882533,39406,20.05,1.95,3841,3.89,2994,2,2
